BuyerID,BuyerName,BuyerAge,BuyerGender,BuyerSalary
1,Karina Wang,51,female,4861.85
2,Marcus Parker,37,female,9445.44
3,Gina Clayton,19,male,5631.28
4,John Bryan,20,female,9585.26
5,Janet Rodgers,16,female,5422.59
6,Joshua Murillo,49,male,7721.43
7,Teresa Roberts,54,male,10422.57
8,Patrick Khan,67,female,10395.77
9,Miguel Munoz,66,female,7383.58
10,Lisa Fisher,25,male,6497.81
11,Tammy Myers,36,female,4254.94
12,James Terry,42,female,7188.09
13,Joseph Ross,73,female,8923.8
14,Andrew Willis,71,male,9966.75
15,Anna Perez DVM,30,male,10521.65
16,Mark Wright,42,male,6663.77
17,Renee Green,32,female,3718.81
18,Brian Stevens,13,male,3916.49
19,David Reilly,71,female,3667.16
20,Robert Joseph,67,male,7339.46
21,Kevin Wells,37,female,7067.41
22,Jessica Patton,42,male,3864.38
23,Juan Moran,62,male,9441.8
24,Tyler Ware,28,female,9146.71
25,Hannah Bush,70,male,6570.67
26,Nicole Stewart,35,male,10911.29
27,John Thompson,41,male,5722.4
28,James Hunt,27,male,7908.64
29,Jeremy Rogers,37,male,5149.72
30,Ashley Harris,13,female,5475.83
31,Gregory Smith,44,male,9483.17
32,Jared Kramer,69,female,9538.53
33,Adam George,18,female,9566.14
34,William Wagner,14,female,3604.26
35,Karen Merritt,39,male,5195.48
36,Richard Alvarez,35,female,6054.79
37,David Woods,29,male,7804.13
38,James Hicks,59,male,8415.79
39,Monica Collins,19,male,6584.47
40,Isabel Thomas,58,female,7133.43
41,Michelle Norris,33,male,9349.13
42,Ashley Jarvis,31,female,6667.68
43,Tammie Osborne,52,female,9121.64
44,Jared Perez,52,female,5940.71
45,Sarah West,12,male,9969.01
46,Tammy Marquez,71,female,10320.41
47,Robert Wright,29,female,10633.63
48,Lori Medina,35,male,9062.15
49,Daniel Suarez,45,male,4551.65
50,Justin Gilmore,37,male,5906.01
51,Chris Contreras,27,female,7008.44
52,Henry Harvey,71,female,8194.46
53,Don Martinez,25,male,5997.44
54,Nicole West,34,male,9570.64
55,Donna Pollard,40,female,6540.86
56,Christina Long,30,male,6698.99
57,Shannon Gomez,41,male,8135.24
58,Ana Garner,55,male,3677.59
59,Michael Larsen,24,male,7580.52
60,Nancy Lewis,40,male,7930.88
61,Andrew Hill,67,female,10881.28
62,David Bishop,59,female,9242.63
63,Ricardo Hale,40,male,6245.08
64,Laura Brown,63,male,9215.14
65,Krystal Atkins,45,male,5193.25
66,Kristina Duarte,29,female,10532.99
67,Janet Owen,18,male,7064.86
68,Michael Parker,46,male,5012.07
69,James Delacruz,75,female,7999.43
70,Willie Skinner,31,female,9568.33
71,Erica Cummings,39,male,6233.49
72,Chase Hernandez,35,male,6273.08
73,Aaron Graves,44,female,4822.27
74,Brian Woods,64,female,8554.09
75,Carolyn White,58,female,7855.19
76,Lori Armstrong,33,male,6047.33
77,Janet Thomas,67,female,7131.14
78,Thomas Gill,47,female,6945.46
79,Stacy Jenkins,15,female,9452.58
80,Kelly Garcia,41,female,6667.79
81,David Jones,75,female,7294.89
82,Cassandra Mccoy,20,female,4498.59
83,Victor Cummings,12,male,9892.65
